"record_id","title","doi","source","duplicate","title_abstract_decision","full_text_decision","exclusion_reason","reviewer","decision_date"
"R082","Evaluation of Various Machine Learning Algorithms for Crime Prediction","10.52783/cana.v32.5401","Crossref","no","include","exclude","Secondary review, insufficient scope, or unverifiable validation","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R083","PREDICTION OF CRIME TYPE AND OCCURRENCE USING MACHINE LEARNING ALGORITHM","10.56726/irjmets51646","Crossref","no","include","exclude","Secondary review, insufficient scope, or unverifiable validation","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R084","Ada-GCNLSTM: An adaptive urban crime spatiotemporal prediction model","10.1016/j.jnlssr.2024.11.003","Crossref","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R085","Machine Learning for Homicide Crime Prediction Exploring Patterns in Models and Applications","10.25212/lfu.qzj.10.3.41","Crossref","no","include","exclude","Secondary review, insufficient scope, or unverifiable validation","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R086","AI-Based Crime Prediction and Real-Time Alert System Using Machine Learning Techniques","10.64388/irev9i11-1717915","Crossref","no","include","not_retrieved","Full text not retrieved through open access","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R087","Empirical Analysis for Crime Prediction and Forecasting Using Machine Learning and Deep Learning Techniques","10.1109/access.2021.3078117","Crossref","no","include","include","","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R088","Evaluation of Machine Learning Methods on Large-Scale Spatiotemporal Data for Photovoltaic Power Prediction","10.3390/en16134908","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R089","The role of urban environment maintenance in crime prevention: a machine learning analysis of street crime in Manhattan","10.1108/ohi-02-2025-0063","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R090","Redefining Recidivism Prediction: The Impact of Race and Geographic Location in Machine Learning Models","10.1177/00111287251316515","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R091","Systematic Literature Review on Crime Prediction using Machine Learning Techniques","10.33022/ijcs.v14i3.4881","Crossref","no","include","exclude","Secondary review, insufficient scope, or unverifiable validation","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R092","Unveiling nonlinear dynamics in urban blue-green space cooling: Spatiotemporal supply-demand matching via integrated machine learning in Hangzhou","10.1016/j.uclim.2026.102792","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R093","Spatiotemporal Modeling of Urban Growth Using Machine Learning","10.3390/rs12010109","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R094","Analysis of the Nonlinear Relationship and Interaction Effect between Urban Environments and Crime Incidence: Using Urban Big Data and Interpretable Machine Learning","10.2139/ssrn.4136568","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R095","Capturing short-term spatiotemporal traffic states for crash severity prediction in urban areas using explainable machine learning models","10.1080/19439962.2025.2529841","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R096","Spatiotemporal graph learning driven by multivariate KAN for urban road network traffic prediction","10.1007/s11227-025-07671-3","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R097","Spatiotemporal prediction of aeropollen concentration using tree-based machine learning","10.1016/j.envres.2025.123657","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
